baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,names
48.22061691,-1.24304696,0.310482799,-4.003593643,6.24E-05,0.000613634,XM_003557356.4
56.26247247,5.498280374,0.976287271,5.631826346,1.78E-08,4.62E-07,XM_003557395.4
85.65843196,1.054148252,0.189383995,5.566195033,2.60E-08,6.52E-07,XM_003557399.4
8.481601421,6.593251089,1.680458776,3.92348279,8.73E-05,0.000824292,XM_003557404.4
22.01188452,1.759234114,0.511506246,3.439320881,0.000583176,0.004206644,XM_003557405.3
468.2938813,-1.562616208,0.252722024,-6.183142189,6.28E-10,2.20E-08,XM_003557413.4
21.74872106,2.767811245,0.51179139,5.408084818,6.37E-08,1.43E-06,XM_003557417.4
100.9025914,-1.207236052,0.474216758,-2.545747344,0.010904408,0.048036172,XM_003557442.4
3860.188614,3.602801006,0.401403339,8.975513305,2.82E-19,4.91E-17,XM_003557447.4
31.89722426,3.544281802,1.132740379,3.12894452,0.001754354,0.010658519,XM_003557449.4
706.0432748,2.319617581,0.632929854,3.664888875,0.000247446,0.002021943,XM_003557450.4
701.2030513,2.572567879,0.583567592,4.408346031,1.04E-05,0.000127245,XM_003557451.2
77.7921269,2.678695118,0.809660651,3.30841707,0.00093825,0.006298076,XM_003557452.4
747.0173408,-2.539305556,0.246262187,-10.31139042,6.26E-25,2.46E-22,XM_003557453.4
30.46088863,1.384288708,0.466219504,2.969178031,0.002985975,0.016695335,XM_003557463.4
361.8309045,1.439521262,0.250295623,5.751284212,8.86E-09,2.46E-07,XM_003557477.4
245.9600125,-1.264843182,0.353783466,-3.575190208,0.000349973,0.002715247,XM_003557495.4
5450.250422,1.149160926,0.204499076,5.619394225,1.92E-08,4.93E-07,XM_003557496.2
15.01073194,2.973373358,0.794836945,3.740859527,0.000183392,0.001566482,XM_003557513.4
42.24673088,1.008241156,0.328675137,3.067591805,0.002157912,0.012673908,XM_003557514.4
588.321736,-1.543044854,0.236266951,-6.530938181,6.54E-11,2.82E-09,XM_003557518.4
93.81953768,-1.626139719,0.454717886,-3.576150771,0.000348691,0.002708744,XM_003557520.4
354.9126718,1.528191589,0.209567593,7.292117854,3.05E-13,2.08E-11,XM_003557534.4
39.6693626,3.22260753,0.747858731,4.309112667,1.64E-05,0.000189827,XM_003557536.4
43.50748554,-8.420623346,1.662201385,-5.065946535,4.06E-07,7.40E-06,XM_003557539.4
265.1674243,-6.257074967,1.636854573,-3.822621185,0.000132041,0.001179394,XM_003557540.4
8.554526126,6.536222356,1.849708891,3.533649207,0.000409865,0.003106065,XM_003557544.4
911.8784305,1.483309659,0.25397089,5.840471165,5.21E-09,1.52E-07,XM_003557554.4
288.9073345,-3.214923184,0.376290743,-8.543721159,1.30E-17,1.75E-15,XM_003557569.4
1300.920286,1.383082345,0.235989296,5.860784223,4.61E-09,1.36E-07,XM_003557581.4
23.95581062,1.894543522,0.484516226,3.910175595,9.22E-05,0.000864352,XM_003557585.4
383.2218537,1.244517481,0.272274754,4.570814829,4.86E-06,6.55E-05,XM_003557586.4
71.05474613,-2.073409692,0.579126857,-3.580234047,0.000343287,0.002674153,XM_003557591.4
43.01657198,-1.178420202,0.405353926,-2.907138984,0.003647511,0.019686433,XM_003557595.4
641.7192338,-1.84126838,0.237967037,-7.737493408,1.01E-14,8.82E-13,XM_003557596.4
113.1897768,-1.296857277,0.503543572,-2.575461884,0.010010631,0.044883286,XM_003557613.4
345.0512009,1.480388372,0.552610805,2.678898709,0.007386473,0.035102796,XM_003557628.4
413.6228646,-2.500734472,0.247901661,-10.08760676,6.27E-24,2.14E-21,XM_003557629.4
287.2922022,-1.189368527,0.365121697,-3.257457816,0.00112415,0.007355473,XM_003557633.4
4511.482796,-1.153130223,0.161518206,-7.139320415,9.38E-13,5.91E-11,XM_003557646.3
493.7969125,3.28216498,0.532351249,6.165412374,7.03E-10,2.43E-08,XM_003557648.3
338.7196343,1.024719036,0.312425559,3.279882219,0.001038504,0.006876328,XM_003557650.4
115.945623,1.250706577,0.273756428,4.568683878,4.91E-06,6.60E-05,XM_003557651.4
339.2416608,-2.901414401,0.42078369,-6.895263459,5.38E-12,2.91E-10,XM_003557652.4
494.3645727,-2.465143176,0.331449503,-7.437462277,1.03E-13,7.55E-12,XM_003557667.4
16.95374476,-1.913392427,0.560325365,-3.414788171,0.000638316,0.004554062,XM_003557707.4
394.016302,-1.098171864,0.166641313,-6.590033673,4.40E-11,1.97E-09,XM_003557712.4
52.56677882,-4.87356011,1.291151095,-3.774585429,0.000160274,0.001399096,XM_003557745.4
61.0882844,-4.36844755,0.703644604,-6.208315283,5.36E-10,1.89E-08,XM_003557747.3
6.982558061,-2.740247763,0.821066139,-3.337426343,0.000845581,0.005766044,XM_003557763.4
79.09616629,-2.743884148,0.534110286,-5.137298827,2.79E-07,5.29E-06,XM_003557790.4
216.1053908,-1.574591195,0.29659091,-5.30896647,1.10E-07,2.30E-06,XM_003557794.4
82.32600997,-5.056319201,0.627188651,-8.061879293,7.51E-16,7.80E-14,XM_003557800.4
149.2637218,-1.782160326,0.483417011,-3.686590014,0.000227279,0.001877724,XM_003557801.3
313.5790176,1.665979625,0.314433841,5.298347093,1.17E-07,2.43E-06,XM_003557802.4
97.1173515,1.178244106,0.309356968,3.808687788,0.000139706,0.001238783,XM_003557820.4
66.48854531,1.377579632,0.251075291,5.486719246,4.09E-08,9.71E-07,XM_003557833.4
91.40690263,-6.984790374,0.882924284,-7.910973232,2.55E-15,2.44E-13,XM_003557835.4
153.4632767,-3.612247111,0.360160421,-10.02955046,1.13E-23,3.50E-21,XM_003557851.4
171.0303546,-1.050183265,0.226887911,-4.628643542,3.68E-06,5.12E-05,XM_003557869.4
536.4757515,1.115100969,0.203392829,5.48249894,4.19E-08,9.91E-07,XM_003557871.4
112.7705242,-1.93638781,0.487716945,-3.970310707,7.18E-05,0.000694427,XM_003557890.4
981.3826798,1.630665088,0.294764553,5.532093566,3.16E-08,7.70E-07,XM_003557903.4
226.9762113,-2.162541814,0.34073978,-6.346607995,2.20E-10,8.47E-09,XM_003557911.4
387.7629334,1.047657669,0.275158798,3.807465644,0.000140398,0.001243712,XM_003557935.4
11.51223527,2.746279116,0.756411063,3.630670214,0.000282686,0.002265829,XM_003557944.4
132.0133082,-1.232906789,0.305199446,-4.039675713,5.35E-05,0.00053672,XM_003557957.4
103.6545439,1.751097899,0.52503466,3.335204384,0.000852367,0.005803656,XM_003557967.4
1384.244076,-1.008754793,0.181536241,-5.556768096,2.75E-08,6.84E-07,XM_003557973.4
175.9569536,-2.387288915,0.483052127,-4.942093781,7.73E-07,1.31E-05,XM_003557974.4
116.4537587,-2.593228333,0.489513966,-5.297557404,1.17E-07,2.44E-06,XM_003557980.4
409.4841075,-1.443817703,0.224137101,-6.441672064,1.18E-10,4.79E-09,XM_003558011.3
83.89503113,-2.225401111,0.381940795,-5.826560403,5.66E-09,1.64E-07,XM_003558017.4
241.4327722,-1.317197655,0.272086333,-4.841101866,1.29E-06,2.04E-05,XM_003558029.4
12.79411819,-1.997382083,0.717807826,-2.782613968,0.005392292,0.027094897,XM_003558037.4
1047.196623,-1.732934233,0.233179758,-7.43175243,1.07E-13,7.80E-12,XM_003558053.4
317.3453715,-1.736529203,0.324428767,-5.352574677,8.67E-08,1.86E-06,XM_003558057.4
39.25940692,-4.95968749,0.724803222,-6.842805523,7.77E-12,4.01E-10,XM_003558060.4
7.483144459,-2.250245381,0.775102939,-2.903156816,0.003694216,0.019863879,XM_003558083.4
68.20128733,-2.514910229,0.669633699,-3.75565064,0.000172892,0.001491079,XM_003558093.4
52.37736122,-3.453237941,0.443518278,-7.786010429,6.92E-15,6.12E-13,XM_003558094.4
153.9649171,-4.310623216,0.485685749,-8.875333944,6.97E-19,1.14E-16,XM_003558105.4
11746.20258,2.587205658,0.403323761,6.414711719,1.41E-10,5.62E-09,XM_003558107.4
1003.222331,-1.91276184,0.377171244,-5.071335287,3.95E-07,7.23E-06,XM_003558122.4
104.2765824,1.1728826,0.282168734,4.156671022,3.23E-05,0.000345208,XM_003558132.4
470.6130479,-2.051658933,0.209135633,-9.810183468,1.02E-22,2.88E-20,XM_003558151.4
71.59958421,-2.197053137,0.51474963,-4.268197601,1.97E-05,0.000223333,XM_003558166.4
22.74209474,-1.983092484,0.459269671,-4.317926064,1.58E-05,0.000183451,XM_003558167.3
7515.425641,-1.101009414,0.163042819,-6.75288503,1.45E-11,7.10E-10,XM_003558173.4
5.60619316,2.362369073,0.800357796,2.951641234,0.0031609,0.017509985,XM_003558179.3
144.0553156,-1.882621784,0.637314741,-2.953990646,0.003136935,0.017403609,XM_003558185.4
49.36639636,-5.09710623,0.719656808,-7.082690208,1.41E-12,8.64E-11,XM_003558192.4
698.096232,1.093118449,0.229467668,4.763714464,1.90E-06,2.87E-05,XM_003558209.4
206.2073325,1.241689177,0.159908083,7.765018208,8.16E-15,7.17E-13,XM_003558210.4
1191.667229,-1.850435479,0.303045399,-6.106132887,1.02E-09,3.40E-08,XM_003558228.4
1361.161358,-1.10468965,0.181992698,-6.06996688,1.28E-09,4.19E-08,XM_003558232.4
451.2728638,1.241253108,0.38349892,3.236653466,0.001209402,0.007813971,XM_003558240.4
2233.641665,1.27748476,0.277615946,4.601626018,4.19E-06,5.75E-05,XM_003558241.4
92.40022065,-1.853940421,0.343073563,-5.403915147,6.52E-08,1.46E-06,XM_003558260.3
4.21293352,-5.940215435,1.510610344,-3.932328054,8.41E-05,0.000798247,XM_003558263.4
991.1641924,1.23545696,0.474008984,2.606399882,0.009149957,0.041772536,XM_003558272.4
281.0933278,1.350584823,0.452664052,2.983636133,0.002848453,0.016061548,XM_003558284.4
319.753437,-2.017757561,0.236565243,-8.52939144,1.47E-17,1.97E-15,XM_003558294.4
141.7555171,1.298030417,0.446066997,2.909944976,0.003614924,0.019543858,XM_003558295.4
153.39052,1.305329658,0.508649702,2.56626447,0.010280041,0.045793481,XM_003558311.4
1351.180451,-1.284186875,0.301362091,-4.261275431,2.03E-05,0.00022944,XM_003558312.4
241.9086319,-1.036721915,0.393161774,-2.636883804,0.008367149,0.038863805,XM_003558313.4
650.6129648,-1.20144449,0.266565085,-4.507133748,6.57E-06,8.50E-05,XM_003558318.4
2787.782109,-1.722703322,0.231734636,-7.433948392,1.05E-13,7.72E-12,XM_003558334.4
2381.833231,-1.758336354,0.402047585,-4.373453343,1.22E-05,0.000147134,XM_003558358.4
266.928982,2.70195139,0.950641093,2.842241315,0.004479757,0.023264438,XM_003558361.3
199.7247196,-1.671522795,0.272592145,-6.131955105,8.68E-10,2.94E-08,XM_003558368.4
40.86079969,1.510074598,0.3919573,3.852650784,0.000116846,0.001062897,XM_003558374.4
575.8077735,-1.13164428,0.244915076,-4.620557855,3.83E-06,5.31E-05,XM_003558384.4
97.04112376,3.334731017,0.537749336,6.201274082,5.60E-10,1.97E-08,XM_003558385.4
3.090859268,-4.333839244,1.339957187,-3.234311726,0.001219363,0.007869983,XM_003558391.4
152.2787784,-1.08823996,0.28206058,-3.858178132,0.000114235,0.001042002,XM_003558394.4
1169.587488,1.321218281,0.441892445,2.989909189,0.002790604,0.015788944,XM_003558398.4
26934.45383,3.469285557,0.421664753,8.227592024,1.91E-16,2.22E-14,XM_003558418.3
39.77426212,1.674720827,0.47797421,3.503789098,0.000458688,0.003422839,XM_003558420.4
566.953509,-2.252350815,0.352543563,-6.388858149,1.67E-10,6.53E-09,XM_003558421.4
34.20665853,-1.623219791,0.391989712,-4.140975492,3.46E-05,0.000366173,XM_003558424.4
285.944503,1.056055894,0.263243366,4.011709436,6.03E-05,0.00059612,XM_003558427.4
1631.154801,1.634775462,0.593161818,2.756036232,0.005850652,0.02903086,XM_003558432.4
177.8883253,-1.535840644,0.46828484,-3.279714634,0.001039121,0.006879168,XM_003558436.4
638.4508154,1.666652093,0.291451885,5.718446777,1.08E-08,2.93E-07,XM_003558441.4
1109.480649,-1.061077366,0.181584934,-5.843421813,5.11E-09,1.50E-07,XM_003558462.4
1734.421863,1.292942604,0.170698872,7.574406271,3.61E-14,2.81E-12,XM_003558471.2
178.2431784,-2.367917345,0.323421501,-7.321459268,2.45E-13,1.69E-11,XM_003558475.4
460.156031,-2.070670138,0.361011509,-5.735745507,9.71E-09,2.67E-07,XM_003558490.4
43.59628162,-1.922411333,0.481840621,-3.989724507,6.62E-05,0.000644826,XM_003558522.4
435.3655386,1.13344135,0.363048498,3.122010852,0.001796203,0.010860418,XM_003558537.4
184.7796517,1.714594193,0.474385622,3.614346885,0.000301106,0.002392481,XM_003558538.4
169.0420505,1.12237048,0.2546592,4.407343147,1.05E-05,0.00012775,XM_003558543.4
270.6910512,-1.117522778,0.364717447,-3.064078195,0.002183418,0.012795244,XM_003558550.4
141.3991909,1.541550646,0.448059844,3.440501683,0.000580637,0.004192469,XM_003558573.3
327.9403832,1.368162285,0.217016314,6.304421344,2.89E-10,1.08E-08,XM_003558574.4
895.2743433,-1.03926861,0.306463412,-3.391166996,0.000695957,0.004899311,XM_003558575.4
34.48525948,2.342097044,0.776479949,3.016300741,0.002558793,0.014656621,XM_003558589.4
218.6227513,3.650931896,1.010014173,3.61473333,0.000300657,0.002390474,XM_003558612.4
43.22145808,-2.945927681,0.491351139,-5.995564981,2.03E-09,6.37E-08,XM_003558629.4
20.01448356,-1.477932916,0.480758018,-3.074172161,0.002110876,0.012451987,XM_003558640.4
