baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,names
15.80479412,5.311288438,1.590453362,3.339480782,0.000839352,0.015824159,XM_014898335.2
7.204757354,5.276192603,1.705047767,3.094454422,0.001971752,0.030150804,XR_002963184.1
7.528350547,5.243998849,1.504438404,3.485685313,0.000490878,0.01064164,XM_024458420.1
28.07776726,5.150609244,1.097191592,4.694357193,2.67E-06,0.000160664,XM_003572945.4
5.854771651,5.130355337,1.642954071,3.122640753,0.001792364,0.028209948,XR_731790.3
10.05385368,5.002196164,1.517062035,3.297291771,0.00097622,0.017888283,XM_010241432.3
11.51887669,4.928411652,1.123374404,4.387149674,1.15E-05,0.00054752,XM_024456423.1
10.55090958,4.667912286,1.244973024,3.749408377,0.000177252,0.004947977,XM_024459487.1
8.085009991,4.665742452,1.32238711,3.528272786,0.000418281,0.009481418,XR_732787.3
6.542003301,4.64087001,1.205548939,3.849590722,0.000118315,0.003623477,XM_003577417.4
9.598881416,4.522318254,1.285420436,3.518162717,0.000434546,0.009760738,XM_024454703.1
5.622208731,4.432906563,1.28755947,3.442875195,0.000575565,0.011993982,XM_003563223.4
24.71573785,4.27838456,1.118139822,3.826341282,0.000130062,0.003920985,XM_024460740.1
8.315954483,4.265871538,1.115408389,3.824492964,0.000131041,0.003945964,XM_024457846.1
36.25951789,4.005840905,1.287423544,3.111517515,0.001861284,0.028865308,XM_024459818.1
18.69817387,3.536178183,1.209991827,2.922481049,0.003472548,0.045073035,XM_003573223.4
77.7921269,3.504277138,0.735188675,4.766500431,1.87E-06,0.00011962,XM_003557452.4
15.1769806,3.400420602,1.120097553,3.035825401,0.002398782,0.034554264,XR_001404788.2
22.10059334,3.321143464,0.578069423,5.745232889,9.18E-09,1.28E-06,XM_024456851.1
229.4154876,3.281610854,0.380446546,8.625681825,6.37E-18,5.22E-15,XM_010234198.3
19.57068467,3.272209636,0.928684241,3.523490001,0.000425903,0.009627584,XM_024456870.1
27.9607285,3.250070559,1.039691451,3.125995272,0.001772044,0.027964511,XM_010237596.3
6.745904805,3.208104147,1.064640945,3.013320277,0.00258406,0.036541322,XM_014900715.2
907.4374114,3.191531836,0.337833186,9.447064303,3.48E-21,4.23E-18,XM_003579577.3
47.61076591,3.186239987,0.671969252,4.741645514,2.12E-06,0.000132191,XM_024454894.1
127.4600836,3.143184997,0.683869962,4.596173504,4.30E-06,0.000238421,XM_003561476.4
28.82431206,2.973886634,0.80012637,3.716771183,0.000201785,0.005451853,XM_003558692.4
43922.28849,2.915552089,0.809547715,3.601457993,0.000316438,0.007700668,XR_002963593.1
259.6408347,2.85286684,0.302270138,9.438136565,3.79E-21,4.45E-18,NR_126928.1
23.09807495,2.838131758,0.734530699,3.863870854,0.000111604,0.003469781,XM_024454881.1
59.52766642,2.791192566,0.957149869,2.916149975,0.003543801,0.0456367,XM_010239990.3
68.4584818,2.777821273,0.570889337,4.865778867,1.14E-06,7.92E-05,XM_003563301.4
1312.186258,2.741408268,0.515364911,5.319353747,1.04E-07,1.03E-05,XM_024456786.1
70829.45814,2.703956438,0.756158135,3.575913971,0.000349006,0.00825336,XR_002964634.1
11.28978037,2.691008954,0.93251959,2.885739864,0.003904948,0.04890798,XM_010233167.3
31.42158134,2.651051732,0.701521668,3.779001921,0.000157458,0.004518486,XM_014899631.2
701.2030513,2.632035823,0.616503036,4.269299046,1.96E-05,0.000855278,XM_003557451.2
52.80155518,2.603085507,0.878669458,2.962530997,0.003051211,0.041123298,XM_024463354.1
1640.819055,2.590732917,0.651522274,3.976430307,7.00E-05,0.002374871,XM_014895787.2
473.1242636,2.323569445,0.151944622,15.29221252,8.62E-53,4.04E-49,XM_003564552.3
608.4193701,2.319112367,0.466494507,4.971360508,6.65E-07,5.12E-05,XM_003574264.4
15.51340818,2.308483627,0.656248331,3.517698283,0.000435307,0.009760738,XM_024462490.1
2851.415939,2.305878938,0.257533392,8.953708564,3.44E-19,3.32E-16,XM_010236080.3
49.36639636,2.286927507,0.726309489,3.148695618,0.001640009,0.026355855,XM_003558192.4
17.90863129,2.280487709,0.626439424,3.640396217,0.000272219,0.006831505,XM_024455656.1
27.79209909,2.243203042,0.656953101,3.414555834,0.000638861,0.012991097,XM_010230719.3
863.8065955,2.217304157,0.44529918,4.97935828,6.38E-07,4.95E-05,XM_003574762.4
650.1537389,2.190248696,0.46538111,4.706354965,2.52E-06,0.000152333,XM_010240503.3
1831.022603,2.15988054,0.366075797,5.900091063,3.63E-09,5.54E-07,XM_003567010.4
241.0833519,2.156286244,0.600620315,3.590098753,0.000330553,0.00797802,XM_010236775.3
15.47463062,2.153050236,0.419532051,5.132028009,2.87E-07,2.51E-05,XM_010240478.3
939.7164296,2.125121315,0.69845847,3.042587938,0.002345533,0.034056429,XM_010235090.3
16.31660198,2.124913295,0.430267287,4.938589006,7.87E-07,5.90E-05,XM_010229348.3
